count, Stick Right Slider (10cm), left pedal pos (cm), left slider pos (cm), right pedal pos (cm), right slider pos (cm), current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A)
4.33,3.76,0,0,0,0,0.521,0,0,0,0
4.34,3.76,0,0,0,0,0.542,0,0,0,0
4.35,3.76,0,0,0,0,0.542,0,0,0,0
4.36,3.73,0,0,0,0,0.627,0,0,0,0
4.37,3.73,0,0,0,0,0.627,0,0,0,0
4.38,3.7,0,0,0,0,0.543,0,0,0,0
4.39,3.7,0,0,0,0,0.543,0,0,0,0
4.4,3.66,0,0,0,0,0.564,0,0,0,0
4.41,3.66,0,0,0,0,0.564,0,0,0,0
4.42,3.66,0,0,0,0,0.564,0,0,0,0
4.43,3.62,0,0,0,0,0.587,0,0,0,0
4.44,3.62,0,0,0,0,0.587,0,0,0,0
4.45,3.58,0,0,0,0,0.619,0,0,0,0
4.46,3.58,0,0,0,0,0.619,0,0,0,0
4.47,3.54,0,0,0,0,0.548,0,0,0,0
4.48,3.54,0,0,0,0,0.548,0,0,0,0
4.49,3.5,0,0,0,0,0.548,0,0,0,0
4.5,3.5,0,0,0,0,0.617,0,0,0,0
4.51,3.5,0,0,0,0,0.617,0,0,0,0
4.52,3.46,0,0,0,0,0.611,0,0,0,0
4.53,3.46,0,0,0,0,0.611,0,0,0,0
4.54,3.41,0,0,0,0,0.591,0,0,0,0
4.55,3.41,0,0,0,0,0.591,0,0,0,0
4.56,3.36,0,0,0,0,0.591,0,0,0,0
4.57,3.36,0,0,0,0,0.453,0,0,0,0
4.58,3.36,0,0,0,0,0.453,0,0,0,0
4.59,3.31,0,0,0,0,0.635,0,0,0,0
4.6,3.31,0,0,0,0,0.635,0,0,0,0
4.61,3.26,0,0,0,0,0.61,0,0,0,0
4.62,3.26,0,0,0,0,0.61,0,0,0,0
4.63,3.2,0,0,0,0,0.61,0,0,0,0
4.64,3.2,0,0,0,0,0.646,0,0,0,0
4.65,3.2,0,0,0,0,0.646,0,0,0,0
4.66,3.15,0,0,0,0,0.604,0,0,0,0
4.67,3.15,0,0,0,0,0.604,0,0,0,0
4.68,3.09,0,0,0,0,0.586,0,0,0,0
4.69,3.09,0,0,0,0,0.586,0,0,0,0
4.7,3.03,0,0,0,0,0.562,0,0,0,0
